title,price_per_m²,project_name,address,price,area,bedroom,bathroom,url,posted_date,expired_date,project_status,investor,broker_name,broker_rank,project_area_range,number_of_apartments,number_of_buildings
"Chuyên chuyển nhượng Masteri TĐ - Cam kết rẻ hơn thị trường 300tr, hỗ trợ vay. LH",,Masteri Thảo Điền," Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",,70.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/-ban-gap-cam-ket-re-hon-thi-truong-300tr-vay-80-lh-thuy-masteri-pr38904891,10/02/2025,20/02/2025,Đã bàn giao,Masterise Homes,Nan,,45-100 m²,3021.0,5.0
"Tin thật 100%-Tổng hợp giỏ hàng giá rẻ nội thất chuẩn đẹp T2/2025, 1-4PN-Duplex-Pent Feliz En Vista",84.58,Feliz En Vista," Đường Phan Văn Đáng, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",9.05,107.0,3.0,3.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phan-van-dang-phuong-thanh-my-loi-prj-feliz-en-vista/tin-that-100-tong-hop-gio-hang-gia-re-noi-that-chuan-dep-t1-2025-1-4pn-duplex-pt-vista-pr42002079,10/02/2025,17/02/2025,Đã bàn giao,CapitaLand Development (Việt Nam),Nan,,,1127.0,4.0
"2 phòng ngủ view sông cắt lỗ tại Lumiere Riveside - Chuyên Penthouse, 1PN, 2PN, 3PN hàng ngộp",109.59,Lumiere Riverside," Đường Võ Nguyên Giáp, Phường An Phú, Quận 2, Hồ Chí Minh",8.0,73.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-nguyen-giap-phuong-an-phu-prj-lumiere-riverside/2-phong-ngu-view-song-cat-lo-tai-riveside-chuyen-penthouse-1pn-2pn-3pn-hang-ngop-pr40059347,06/02/2025,16/02/2025,Đang mở bán,Công ty CP Ðịa ốc Thảo Ðiền,Nan,,,,2.0
Giỏ hàng chuyển nhượng 68 căn Eaton Park giai đoạn 1 giá tốt. Giỏ hàng chủ đầu tư độc quyền A2 A3,131.82,Eaton Park," Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",7.25,55.0,1.0,1.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-an-phu-prj-eaton-park/gio-hang-chuyen-nhuong-20-giai-doan-1-gia-tot-pr42093806,10/02/2025,20/02/2025,Đang mở bán,Công ty Cổ phần Gamuda Land Việt Nam,Nan,,38-98 m²,2000.0,6.0
"Lumiere Riverside em chuyên săn những căn giá gốc cắt lỗ (52m2-4,9tỷ) (77m2-6,2tỷ) (101m2-10tỷ)",94.23,Lumiere Riverside," Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",4.9,52.0,1.0,1.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-an-phu-prj-lumiere-riverside/-em-chuyen-san-nhung-gia-goc-cat-52m2-4-9ty-77m2-6-2ty-101m2-10ty-pr40982386,05/02/2025,12/02/2025,Đang mở bán,Công ty CP Ðịa ốc Thảo Ðiền,Nan,,,,2.0
"Full giỏ hàng căn hộ Đảo Kim Cương Quận 2, từ 1 - 4PN, Duplex, Penthouse, Pool Villa, Garden Villa",96.67,Diamond Island," Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",11.6,120.0,3.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-binh-trung-tay-prj-diamond-island/full-gio-hang-dao-kim-cuong-quan-2-tu-1-4pn-duplex-pentuse-pool-villa-garden-villa-pr40844248,10/02/2025,17/02/2025,Đã bàn giao,Kusto Home,Nan,,,1275.0,6.0
"Giá rẻ 100% - PKD Đảo Kim Cương chuyên bán căn hộ view sông đẹp, nội thất cao cấp, 1-2-3-4PN-Villa",74.7,Diamond Island," Đường 104, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",6.2,83.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-104-phuong-binh-trung-tay-prj-diamond-island/gia-re-100-pkd-dao-kim-cuong-chuyen-ban-view-song-dep-noi-that-cao-cap-1-2-3-4pn-villa-pr41533953,10/02/2025,17/02/2025,Đã bàn giao,Kusto Home,Nan,,,1275.0,6.0
"RỔ HÀNG CĂN HỘ MASTERI GRAND VIEW TỪ 1 - 4 PHÒNG NGỦ, GIÁ GỐC CHỦ ĐẦU TƯ CK 16%",100.0,Masteri Grand View," Đường Liên Phường, Phường An Phú, Quận 2, Hồ Chí Minh",5.6,56.0,1.0,1.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lien-phuong-phuong-an-phu-prj-masteri-grand-view/chu-dau-tu-nhan-booking-mo-ban-giai-doan-1-thap-doi-the-global-city-dep-nhat-q2-uu-dai-lon-pr41368956,10/02/2025,25/02/2025,Đang cập nhật tiến độ,Masterise Homes,Nan,,56-372 m²,616.0,2.0
"Bán căn hộ Lumiere Riverside - view đẹp, gần ga Metro, giá chỉ từ 9.5 tỷ",133.8,Lumiere Riverside," Võ Nguyên Giáp, An Phú, Quận 2, Hồ Chí Minh",9.5,71.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-nguyen-giap-phuong-an-phu-prj-lumiere-riverside/ban-view-dep-gan-ga-metro-gia-chi-tu-9-5-ty-pr42133419,10/02/2025,17/02/2025,Đang mở bán,Công ty CP Ðịa ốc Thảo Ðiền,Nan,,,,2.0
"Tin giá thật em Hiệp chuyên bán căn hộ Lumiere Riverside, Quận 2. Đã có sổ hồng",125.0,Lumiere Riverside," Đường Võ Nguyên Giáp, Phường An Phú, Quận 2, Hồ Chí Minh",6.5,52.0,1.0,1.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-nguyen-giap-phuong-an-phu-prj-lumiere-riverside/tin-gia-that-em-hiep-chuyen-mua-ban-quan-2-pr41007787,05/02/2025,12/02/2025,Đang mở bán,Công ty CP Ðịa ốc Thảo Ðiền,Nan,,,,2.0
