post_id,update_date,broker_id,project_id,price,price_unit,price_per_m²,price_per_m²_unit,area,area_unit,bedroom,bathroom
1,2025-02-11,1,1,,tỷ đồng,,triệu đồng,70.0,m²,2.0,2.0
2,2025-02-11,1,2,9.05,tỷ đồng,84.58,triệu đồng,107.0,m²,3.0,3.0
3,2025-02-11,1,3,8.0,tỷ đồng,109.59,triệu đồng,73.0,m²,2.0,2.0
4,2025-02-11,1,4,7.25,tỷ đồng,131.82,triệu đồng,55.0,m²,1.0,1.0
5,2025-02-11,1,5,4.9,tỷ đồng,94.23,triệu đồng,52.0,m²,1.0,1.0
6,2025-02-11,1,6,11.6,tỷ đồng,96.67,triệu đồng,120.0,m²,3.0,2.0
7,2025-02-11,1,7,6.2,tỷ đồng,74.7,triệu đồng,83.0,m²,2.0,2.0
8,2025-02-11,1,8,5.6,tỷ đồng,100.0,triệu đồng,56.0,m²,1.0,1.0
9,2025-02-11,1,9,9.5,tỷ đồng,133.8,triệu đồng,71.0,m²,2.0,2.0
10,2025-02-11,1,3,6.5,tỷ đồng,125.0,triệu đồng,52.0,m²,1.0,1.0
11,2025-02-11,1,1,,tỷ đồng,,triệu đồng,75.0,m²,2.0,2.0
12,2025-02-11,1,10,15.7,tỷ đồng,193.83,triệu đồng,81.0,m²,2.0,2.0
13,2025-02-11,1,11,11.0,tỷ đồng,117.02,triệu đồng,94.0,m²,2.0,2.0
14,2025-02-11,1,1,,tỷ đồng,,triệu đồng,78.0,m²,2.0,2.0
15,2025-02-11,1,11,40.0,tỷ đồng,198.02,triệu đồng,202.0,m²,4.0,3.0
16,2025-02-11,1,10,15.9,tỷ đồng,196.64,triệu đồng,80.86,m²,2.0,2.0
17,2025-02-11,1,12,12.2,tỷ đồng,104.27,triệu đồng,117.0,m²,,
18,2025-02-11,1,13,3.5,tỷ đồng,43.21,triệu đồng,81.0,m²,2.0,2.0
19,2025-02-11,1,14,6.2,tỷ đồng,61.39,triệu đồng,101.0,m²,3.0,2.0
20,2025-02-11,1,10,19.5,tỷ đồng,274.65,triệu đồng,71.0,m²,2.0,2.0
21,2025-02-11,1,15,11.6,tỷ đồng,134.88,triệu đồng,86.0,m²,2.0,2.0
22,2025-02-11,1,16,7.65,tỷ đồng,123.39,triệu đồng,62.0,m²,1.0,1.0
23,2025-02-11,1,17,5.8,tỷ đồng,65.17,triệu đồng,89.0,m²,2.0,2.0
